extra Auth Time:  2020-11-17T20:10:32.818Z, extra Auth Time:  2020-11-17T20:10:33.316Z, extra Auth Time:  498 ms
extra Auth Time:  2020-11-17T20:10:33.317Z, extra Auth Time:  2020-11-17T20:10:33.332Z, extra Auth Time:  15 ms
extra Auth Time:  2020-11-17T20:10:33.332Z, extra Auth Time:  2020-11-17T20:10:33.347Z, extra Auth Time:  15 ms
extra Auth Time:  2020-11-17T20:10:33.347Z, extra Auth Time:  2020-11-17T20:10:33.365Z, extra Auth Time:  18 ms
extra Auth Time:  2020-11-17T20:10:33.366Z, extra Auth Time:  2020-11-17T20:10:33.379Z, extra Auth Time:  13 ms
extra Auth Time:  2020-11-17T20:10:33.380Z, extra Auth Time:  2020-11-17T20:10:33.400Z, extra Auth Time:  20 ms
extra Auth Time:  2020-11-17T20:10:33.401Z, extra Auth Time:  2020-11-17T20:10:33.426Z, extra Auth Time:  25 ms
extra Auth Time:  2020-11-17T20:10:33.427Z, extra Auth Time:  2020-11-17T20:10:33.443Z, extra Auth Time:  16 ms
extra Auth Time:  2020-11-17T20:10:33.443Z, extra Auth Time:  2020-11-17T20:10:33.458Z, extra Auth Time:  15 ms
extra Auth Time:  2020-11-17T20:10:33.459Z, extra Auth Time:  2020-11-17T20:10:33.474Z, extra Auth Time:  15 ms
extra Auth Time:  2020-11-17T20:10:33.475Z, extra Auth Time:  2020-11-17T20:10:33.489Z, extra Auth Time:  14 ms
extra Auth Time:  2020-11-17T20:10:33.489Z, extra Auth Time:  2020-11-17T20:10:33.505Z, extra Auth Time:  16 ms
extra Auth Time:  2020-11-17T20:10:33.505Z, extra Auth Time:  2020-11-17T20:10:33.520Z, extra Auth Time:  15 ms
extra Auth Time:  2020-11-17T20:10:33.520Z, extra Auth Time:  2020-11-17T20:10:33.536Z, extra Auth Time:  16 ms
extra Auth Time:  2020-11-17T20:10:33.536Z, extra Auth Time:  2020-11-17T20:10:33.551Z, extra Auth Time:  15 ms
extra Auth Time:  2020-11-17T20:10:33.552Z, extra Auth Time:  2020-11-17T20:10:33.567Z, extra Auth Time:  15 ms
extra Auth Time:  2020-11-17T20:10:33.568Z, extra Auth Time:  2020-11-17T20:10:33.583Z, extra Auth Time:  15 ms
extra Auth Time:  2020-11-17T20:10:33.620Z, extra Auth Time:  2020-11-17T20:10:33.630Z, extra Auth Time:  10 ms
extra Auth Time:  2020-11-17T20:10:33.630Z, extra Auth Time:  2020-11-17T20:10:33.646Z, extra Auth Time:  16 ms
extra Auth Time:  2020-11-17T20:10:33.647Z, extra Auth Time:  2020-11-17T20:10:33.663Z, extra Auth Time:  16 ms
extra Auth Time:  2020-11-17T20:10:33.663Z, extra Auth Time:  2020-11-17T20:10:33.679Z, extra Auth Time:  16 ms
extra Auth Time:  2020-11-17T20:10:33.680Z, extra Auth Time:  2020-11-17T20:10:33.695Z, extra Auth Time:  15 ms
extra Auth Time:  2020-11-17T20:10:33.695Z, extra Auth Time:  2020-11-17T20:10:33.711Z, extra Auth Time:  16 ms
extra Auth Time:  2020-11-17T20:10:33.711Z, extra Auth Time:  2020-11-17T20:10:33.728Z, extra Auth Time:  17 ms
extra Auth Time:  2020-11-17T20:10:33.728Z, extra Auth Time:  2020-11-17T20:10:33.742Z, extra Auth Time:  14 ms
extra Auth Time:  2020-11-17T20:10:33.743Z, extra Auth Time:  2020-11-17T20:10:33.759Z, extra Auth Time:  16 ms
extra Auth Time:  2020-11-17T20:10:33.759Z, extra Auth Time:  2020-11-17T20:10:33.774Z, extra Auth Time:  15 ms
extra Auth Time:  2020-11-17T20:10:33.774Z, extra Auth Time:  2020-11-17T20:10:33.790Z, extra Auth Time:  16 ms
extra Auth Time:  2020-11-17T20:10:33.790Z, extra Auth Time:  2020-11-17T20:10:33.806Z, extra Auth Time:  16 ms
extra Auth Time:  2020-11-17T20:10:33.806Z, extra Auth Time:  2020-11-17T20:10:33.821Z, extra Auth Time:  15 ms
2020-11-17T20:11:40.229Z, 2020-11-17T20:11:40.690Z, 461 ms
2020-11-17T20:11:40.691Z, 2020-11-17T20:11:40.709Z, 18 ms
2020-11-17T20:11:40.710Z, 2020-11-17T20:11:40.725Z, 15 ms
2020-11-17T20:11:40.725Z, 2020-11-17T20:11:40.741Z, 16 ms
2020-11-17T20:11:40.741Z, 2020-11-17T20:11:40.757Z, 16 ms
2020-11-17T20:11:40.758Z, 2020-11-17T20:11:40.773Z, 15 ms
2020-11-17T20:11:40.774Z, 2020-11-17T20:11:40.789Z, 15 ms
2020-11-17T20:11:40.789Z, 2020-11-17T20:11:40.805Z, 16 ms
2020-11-17T20:11:40.806Z, 2020-11-17T20:11:40.823Z, 17 ms
2020-11-17T20:11:40.824Z, 2020-11-17T20:11:40.837Z, 13 ms
2020-11-17T20:11:40.838Z, 2020-11-17T20:11:40.853Z, 15 ms
2020-11-17T20:11:40.853Z, 2020-11-17T20:11:40.872Z, 19 ms
2020-11-17T20:11:40.873Z, 2020-11-17T20:11:40.888Z, 15 ms
2020-11-17T20:11:40.889Z, 2020-11-17T20:11:40.899Z, 10 ms
2020-11-17T20:11:40.899Z, 2020-11-17T20:11:40.915Z, 16 ms
2020-11-17T20:11:40.915Z, 2020-11-17T20:11:40.930Z, 15 ms
2020-11-17T20:11:40.930Z, 2020-11-17T20:11:40.946Z, 16 ms
2020-11-17T20:11:40.947Z, 2020-11-17T20:11:40.961Z, 14 ms
2020-11-17T20:11:40.962Z, 2020-11-17T20:11:40.977Z, 15 ms
2020-11-17T20:11:40.978Z, 2020-11-17T20:11:40.994Z, 16 ms
2020-11-17T20:11:40.994Z, 2020-11-17T20:11:41.010Z, 16 ms
2020-11-17T20:11:41.010Z, 2020-11-17T20:11:41.026Z, 16 ms
2020-11-17T20:11:41.026Z, 2020-11-17T20:11:41.041Z, 15 ms
2020-11-17T20:11:41.042Z, 2020-11-17T20:11:41.056Z, 14 ms
2020-11-17T20:11:41.057Z, 2020-11-17T20:11:41.073Z, 16 ms
2020-11-17T20:11:41.073Z, 2020-11-17T20:11:41.088Z, 15 ms
2020-11-17T20:11:41.089Z, 2020-11-17T20:11:41.104Z, 15 ms
2020-11-17T20:11:41.104Z, 2020-11-17T20:11:41.120Z, 16 ms
2020-11-17T20:11:41.121Z, 2020-11-17T20:11:41.136Z, 15 ms
2020-11-17T20:11:41.137Z, 2020-11-17T20:11:41.153Z, 16 ms
2020-11-17T20:13:59.619Z, 2020-11-17T20:14:00.104Z, 485 ms
2020-11-17T20:14:00.127Z, 2020-11-17T20:14:00.149Z, 22 ms
2020-11-17T20:14:00.149Z, 2020-11-17T20:14:00.163Z, 14 ms
2020-11-17T20:14:00.164Z, 2020-11-17T20:14:00.178Z, 14 ms
2020-11-17T20:14:00.178Z, 2020-11-17T20:14:00.197Z, 19 ms
2020-11-17T20:14:00.197Z, 2020-11-17T20:14:00.210Z, 13 ms
2020-11-17T20:14:00.211Z, 2020-11-17T20:14:00.227Z, 16 ms
2020-11-17T20:14:00.227Z, 2020-11-17T20:14:00.242Z, 15 ms
2020-11-17T20:14:00.243Z, 2020-11-17T20:14:00.258Z, 15 ms
